,Job1,Job1Year,Job2,Job2Year,Job3,Job3Year,Job4,Job4Year,Job5,Job5Year,Job6,Job6Year,Job7,Job7Year,Job8,Job8Year,Job9,Job9Year,Job10,Job10Year
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,Software Engineer,15.0,Tech Director,5.0,Project Manager,6.0,,,,,,,,,,,,,,
3,Analyst,2.0,Consultant/Advisor,2.0,,,,,,,,,,,,,,,,
4,President,37.0,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,Officer,5.0,Professor,33.0,Research Scientist,2.0,Professor,3.0,,,,,,,,,,,,
7,CTO,5.0,,,,,,,,,,,,,,,,,,
8,Software Engineer,17.0,,,,,,,,,,,,,,,,,,
9,Professor,34.0,,,,,,,,,,,,,,,,,,
10,Vice President,11.0,Software Engineer,3.0,Vice President,1.0,Software Engineer,21.0,,,,,,,,,,,,
11,Tech Director,11.0,CTO,5.0,Director/Manager,12.0,Professor,7.0,,,,,,,,,,,,
12,Analyst,9.0,,,,,,,,,,,,,,,,,,
13,President,32.0,,,,,,,,,,,,,,,,,,
14,Web Developer,1.0,Software Engineer,2.0,Web Developer,9.0,*Outlier*,1.0,,,,,,,,,,,,
15,Vice President,3.0,Medical-related,18.0,Director/Manager,5.0,*Outlier*,7.0,,,,,,,,,,,,
16,Software Engineer,25.0,Software Engineer,14.0,Consultant/Advisor,9.0,*Outlier*,1.0,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,Software Engineer,8.0,Tech Director,3.0,,,,,,,,,,,,,,,,
19,Director/Manager,17.0,,,,,,,,,,,,,,,,,,
20,Software Engineer,22.0,Technical Staff,1.67,Software Engineer,6.0,Technical Staff,11.0,,,,,,,,,,,,
21,Professor,1.0,Professor,21.0,,,,,,,,,,,,,,,,
22,Software Engineer,2.0,Software Engineer,6.0,Project Manager,3.0,Director/Manager,6.0,,,,,,,,,,,,
23,Teacher,24.0,Teacher,18.0,Teacher,18.0,,,,,,,,,,,,,,
24,Marketing,4.0,Vice President,1.0,Director/Manager,1.0,Tech Director,3.0,Partner,5.0,Technical Staff,1.0,,,,,,,,
25,Software Engineer,15.0,Software Engineer,12.0,Software Engineer,1.0,Software Engineer,5.0,,,,,,,,,,,,
26,Vice President,8.0,*Outlier*,9.0,Director/Manager,9.0,,,,,,,,,,,,,,
27,Software Engineer,17.0,Software Engineer Intern,1.0,Software Engineer,10.0,,,,,,,,,,,,,,
28,Project Manager,16.0,Technical Staff,1.0,Director/Manager,1.0,Consultant/Advisor,1.0,Project Manager,2.0,Director/Manager,1.0,,,,,,,,
29,Consultant/Advisor,4.0,Consultant/Advisor,4.0,Vice President,7.0,Project Manager,1.0,Director/Manager,1.0,*Outlier*,2.0,Director/Manager,5.0,,,,,,
